,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,business_code_enc,day_of_cleardate,month_of_cleardate,year_of_cleardate,day_of_postingdate,month_of_postingdate,year_of_postingdate,day_of_due,month_of_due,year_of_due,day_of_createdate,month_of_createdate,year_of_createdate,cust_payment_terms_enc,name_customer_enc,Aging Bucket
0,CA02,140105686,SYSC llc,2020-04-05 20:46:20.531250000,2020.0,2960623488.0,2020-03-30,2020-04-10,2020-03-31,CA10,2309.79,67,,,,30,3,2020,10,4,2020,31,3,2020,5,2696,
1,U001,200744019,TARG us,2020-04-11 13:13:56.187500000,2020.0,1930659387.0,2020-03-19,2020-04-03,2020-03-19,NAA8,11173.02,67,,,,19,3,2020,3,4,2020,19,3,2020,19,2780,0-15
2,U001,200418007,AM ,2020-03-29 08:36:49.250000000,2020.0,1930610806.0,2020-03-11,2020-03-26,2020-03-11,NAA8,3525.59,67,,,,11,3,2020,26,3,2020,11,3,2020,19,85,0-15
3,U001,200739534,OK systems,2020-04-28 03:43:02.921875000,2020.0,1930788296.0,2020-04-15,2020-04-30,2020-04-15,NAA8,121105.65,67,,,,15,4,2020,30,4,2020,15,4,2020,19,2017,
4,U001,200353024,DECA corporation,2020-04-27 03:57:10.718750000,2020.0,1930817482.0,2020-04-23,2020-04-26,2020-04-16,NAM2,3726.06,67,,,,23,4,2020,26,4,2020,16,4,2020,34,725,0-15
5,U001,200744019,TARG associates,2020-04-12 08:43:42.625000000,2020.0,1930676042.0,2020-03-21,2020-04-05,2020-03-21,NAA8,5893.01,67,,,,21,3,2020,5,4,2020,21,3,2020,19,2771,0-15
6,CA02,140106408,WAL-M corp,2020-03-20 04:53:44.062500000,2020.0,2960618790.0,2020-03-06,2020-03-16,2020-03-06,CA10,64982.59,67,,,,6,3,2020,16,3,2020,6,3,2020,5,2967,0-15
7,U001,200337148,COAS llc,2020-04-02 13:17:49.125000000,2020.0,1930592246.0,2020-03-02,2020-03-17,2020-03-02,NAA8,11380.83,67,,,,2,3,2020,17,3,2020,2,3,2020,19,552,16-30
8,U001,200794332,COST associates,2020-04-19 11:45:25.953125000,2020.0,1930731070.0,2020-04-07,2020-04-22,2020-04-07,NAAX,3863.93,67,,,,7,4,2020,22,4,2020,7,4,2020,21,614,
9,U001,200794332,COST llc,2020-05-09 06:37:27.000000000,2020.0,1930803605.0,2020-04-23,2020-05-08,2020-04-23,NAAX,74453.01,67,,,,23,4,2020,8,5,2020,23,4,2020,21,620,0-15
10,U001,200803720,DEC corp,2020-04-09 09:23:30.031250000,2020.0,1930698352.0,2020-03-25,2020-04-08,2020-03-16,NAM4,138.6,67,,,,25,3,2020,8,4,2020,16,3,2020,36,713,0-15
11,U001,200794332,COST co,2020-03-26 21:16:21.531250000,2020.0,1930647189.0,2020-03-13,2020-03-28,2020-03-13,NAAX,32715.47,67,,,,13,3,2020,28,3,2020,13,3,2020,21,615,
12,U001,200020431,DEC us,2020-05-28 09:18:12.187500000,2020.0,1930861637.0,2020-05-06,2020-05-24,2020-05-01,NAM4,174.72,67,,,,6,5,2020,24,5,2020,1,5,2020,36,720,0-15
13,U001,200769623,WAL-MAR associates,2020-03-24 08:34:47.484375000,2020.0,1930635649.0,2020-03-12,2020-03-27,2020-03-12,NAH4,767.78,67,,,,12,3,2020,27,3,2020,12,3,2020,32,2976,
14,CA02,140105785,SHOPPE foundation,2020-04-06 01:11:51.843750000,2020.0,2960624627.0,2020-03-27,2020-04-10,2020-03-31,CA10,1980.72,67,,,,27,3,2020,10,4,2020,31,3,2020,5,2905,
15,U001,200769623,WAL-MAR ,2020-03-12 16:37:25.429687500,2020.0,1930577078.0,2020-02-28,2020-03-14,2020-02-28,NAH4,14514.68,67,,,,28,2,2020,14,3,2020,28,2,2020,32,2975,
16,U001,200769623,WAL-MAR foundation,2020-04-23 01:34:46.703125000,2020.0,1930774741.0,2020-04-10,2020-04-25,2020-04-10,NAH4,55400.31,67,,,,10,4,2020,25,4,2020,10,4,2020,32,2980,
17,U001,200772670,ASSOCIAT corporation,2020-04-23 01:52:12.531250000,2020.0,1930765053.0,2020-04-09,2020-04-24,2020-04-09,NAU5,174766.36,67,,,,9,4,2020,24,4,2020,9,4,2020,47,180,
18,U001,200900909,SYSCO systems,2020-04-12 21:55:53.203125000,2020.0,1930645969.0,2020-03-13,2020-04-14,2020-03-13,NA32,31512.75,67,,,,13,3,2020,14,4,2020,13,3,2020,12,2747,
19,U001,200769623,WAL-MAR systems,2020-04-11 12:13:03.484375000,2020.0,1930718081.0,2020-03-30,2020-04-14,2020-03-30,NAH4,19701.55,67,,,,30,3,2020,14,4,2020,30,3,2020,32,2983,
20,U001,200726979,BJ'S  trust,2020-05-05 02:50:15.281250000,2020.0,1930788667.0,2020-04-16,2020-05-01,2020-04-16,NAA8,132.72,67,,,,16,4,2020,1,5,2020,16,4,2020,19,321,0-15
21,U001,200769623,WAL-MAR llc,2020-04-09 17:16:42.093750000,2020.0,1930709919.0,2020-03-29,2020-04-13,2020-03-29,NAH4,1121.15,67,,,,29,3,2020,13,4,2020,29,3,2020,32,2982,
22,U001,200769623,WAL-MAR llc,2020-04-19 16:56:27.296875000,2020.0,1930752568.0,2020-04-06,2020-04-21,2020-04-06,NAH4,11394.84,67,,,,6,4,2020,21,4,2020,6,4,2020,32,2982,
23,CA02,140105847,GORDON F co,2020-04-13 07:31:55.093750000,2020.0,2960627274.0,2020-04-08,2020-04-18,2020-04-08,CA10,2579.64,67,,,,8,4,2020,18,4,2020,8,4,2020,5,1132,
24,U001,200744019,TARG foundation,2020-03-28 14:49:58.335937500,2020.0,1930648342.0,2020-03-15,2020-03-30,2020-03-15,NAA8,52123.3,67,,,,15,3,2020,30,3,2020,15,3,2020,19,2775,
25,U001,200769623,WAL-MAR systems,2020-03-23 10:21:01.265625000,2020.0,1930632791.0,2020-03-10,2020-03-25,2020-03-10,NAH4,14994.01,67,,,,10,3,2020,25,3,2020,10,3,2020,32,2983,
26,U001,200769623,WAL-MAR llc,2020-03-31 09:57:41.500000000,2020.0,1930617194.0,2020-03-06,2020-03-21,2020-03-06,NAH4,36.06,67,,,,6,3,2020,21,3,2020,6,3,2020,32,2982,0-15
27,U001,200418007,AM in,2020-04-21 01:28:51.274902344,2020.0,1930752243.0,2020-04-06,2020-04-21,2020-04-06,NAA8,25836.19,67,,,,6,4,2020,21,4,2020,6,4,2020,19,91,0-15
28,U001,200739006,AL foundation,2020-04-29 00:26:54.312500000,2020.0,1930768064.0,2020-04-15,2020-04-30,2020-04-15,NAA8,4309.05,67,,,,15,4,2020,30,4,2020,15,4,2020,19,50,
29,U001,100031704,DELHAIZE associates,2020-04-28 06:00:29.515625000,2020.0,1930789873.0,2020-04-15,2020-04-30,2020-04-15,NAA8,70181.07,67,,,,15,4,2020,30,4,2020,15,4,2020,19,735,
30,U001,200769623,WAL-MAR trust,2020-04-10 04:07:34.078125000,2020.0,1930705172.0,2020-03-28,2020-04-12,2020-03-28,NAH4,3403.8,67,,,,28,3,2020,12,4,2020,28,3,2020,32,2984,
31,U001,200744019,TARG systems,2020-05-14 03:25:20.424804688,2020.0,1930620634.0,2020-03-10,2020-05-14,2020-03-10,NAGD,10665.53,67,,,,10,3,2020,14,5,2020,10,3,2020,31,2778,0-15
32,U001,200769623,WAL-MAR ,2020-04-05 19:40:43.382812500,2020.0,1930676002.0,2020-03-21,2020-04-05,2020-03-21,NAH4,7280.51,67,,,,21,3,2020,5,4,2020,21,3,2020,32,2975,0-15
33,U001,200726979,BJ'S  corporation,2020-04-01 02:17:50.375000000,2020.0,1930585378.0,2020-03-02,2020-03-17,2020-03-02,NAA8,13681.7,67,,,,2,3,2020,17,3,2020,2,3,2020,19,316,16-30
34,U001,200706844,WINC associates,2020-04-26 06:08:58.125000000,2020.0,1930773419.0,2020-04-07,2020-04-22,2020-04-07,NAA8,33947.85,67,,,,7,4,2020,22,4,2020,7,4,2020,19,3036,0-15
35,U001,200793830,M llc,2020-04-21 10:21:19.187500000,2020.0,1930767747.0,2020-04-08,2020-04-23,2020-04-08,NAA8,4537.14,67,,,,8,4,2020,23,4,2020,8,4,2020,19,1710,
36,U001,200769623,WAL-MAR foundation,2020-04-19 06:30:29.156250000,2020.0,1930750455.0,2020-04-06,2020-04-21,2020-04-06,NAH4,14355.96,67,,,,6,4,2020,21,4,2020,6,4,2020,32,2980,
37,U001,200769623,WAL-MAR systems,2020-04-30 22:59:32.250000000,2020.0,1930738904.0,2020-04-03,2020-04-18,2020-04-03,NAH4,367.71,67,,,,3,4,2020,18,4,2020,3,4,2020,32,2983,0-15
38,U001,200769623,WAL-MAR trust,2020-05-17 02:08:02.843750000,2020.0,1930862467.0,2020-05-06,2020-05-21,2020-05-06,NAH4,56284.77,67,,,,6,5,2020,21,5,2020,6,5,2020,32,2984,
